reg	number	asm	class	role	saver
zero	x0	zero	int	constantZero	none
returnAddress	x1	ra	int	link	caller
stackPointer	x2	sp	int	stackPointer	callee
globalPointer	x3	gp	int	globalPointer	reserved
threadPointer	x4	tp	int	threadPointer	reserved
t0	x5	t0	int	temporary	caller
t1	x6	t1	int	temporary	caller
t2	x7	t2	int	temporary	caller
s0	x8	s0	int	saved	callee
s1	x9	s1	int	saved	callee
a0	x10	a0	int	argumentReturn	caller
a1	x11	a1	int	argumentReturn	caller
a2	x12	a2	int	argument	caller
a3	x13	a3	int	argument	caller
a4	x14	a4	int	argument	caller
a5	x15	a5	int	argument	caller
a6	x16	a6	int	argument	caller
a7	x17	a7	int	argument	caller
s2	x18	s2	int	saved	callee
s3	x19	s3	int	saved	callee
s4	x20	s4	int	saved	callee
s5	x21	s5	int	saved	callee
s6	x22	s6	int	saved	callee
s7	x23	s7	int	saved	callee
s8	x24	s8	int	saved	callee
s9	x25	s9	int	saved	callee
s10	x26	s10	int	saved	callee
s11	x27	s11	int	saved	callee
t3	x28	t3	int	temporary	caller
t4	x29	t4	int	temporary	caller
t5	x30	t5	int	temporary	caller
t6	x31	t6	int	temporary	caller
ft0	f0	ft0	fp	temporary	caller
ft1	f1	ft1	fp	temporary	caller
ft2	f2	ft2	fp	temporary	caller
ft3	f3	ft3	fp	temporary	caller
ft4	f4	ft4	fp	temporary	caller
ft5	f5	ft5	fp	temporary	caller
ft6	f6	ft6	fp	temporary	caller
ft7	f7	ft7	fp	temporary	caller
fs0	f8	fs0	fp	saved	callee
fs1	f9	fs1	fp	saved	callee
fa0	f10	fa0	fp	argumentReturn	caller
fa1	f11	fa1	fp	argumentReturn	caller
fa2	f12	fa2	fp	argument	caller
fa3	f13	fa3	fp	argument	caller
fa4	f14	fa4	fp	argument	caller
fa5	f15	fa5	fp	argument	caller
fa6	f16	fa6	fp	argument	caller
fa7	f17	fa7	fp	argument	caller
fs2	f18	fs2	fp	saved	callee
fs3	f19	fs3	fp	saved	callee
fs4	f20	fs4	fp	saved	callee
fs5	f21	fs5	fp	saved	callee
fs6	f22	fs6	fp	saved	callee
fs7	f23	fs7	fp	saved	callee
fs8	f24	fs8	fp	saved	callee
fs9	f25	fs9	fp	saved	callee
fs10	f26	fs10	fp	saved	callee
fs11	f27	fs11	fp	saved	callee
ft8	f28	ft8	fp	temporary	caller
ft9	f29	ft9	fp	temporary	caller
ft10	f30	ft10	fp	temporary	caller
ft11	f31	ft11	fp	temporary	caller
